Si. No. (Col. 1),Category,Crime Head,Cases of Crimes Committed against - Foreign Tourists,Cases of Crimes Committed against - Other  Foreigners,Cases of Crimes Committed against - Total Foreigners (Col.3 + Col.4)
1,IPC,Murder,9,4,13
2,IPC,Culpable Homicide not amounting to Murder,1,0,1
3,IPC,Attempt to Commit Murder/Culpable Homicide,5,4,9
4,IPC,Simple Hurt,5,9,14
5,IPC,Grievous Hurt,1,1,2
6,IPC,Assault on Women with Intent to Outrage her Modesty,17,9,26
7,IPC,Kidnapping and Abduction,3,2,5
8,IPC,Human Trafficking,6,5,11
9,IPC,Rape,8,4,12
10,IPC,Theft,115,27,142
11,IPC,Extortion,1,0,1
12,IPC,Robbery,10,5,15
13,IPC,Dacoity,2,1,3
14,IPC,Cheating,28,13,41
15,IPC,Forgery,5,1,6
16,IPC,Insult to the Modesty of Women,1,0,1
17,IPC,Other IPC Crimes,40,14,54
