S. No,Crime Head,Cases Pending Investi-gation from Previous Year,Cases Reported during the year,Cases Reopened for Investi-gation,Total Cases for Investi-gation (Col.3+ Col.4+ Col.5),Cases Not Investi-gated Under 157_1_b CRPC,Cases Transferred to other State or Agency,Cases With-drawn by the Govt during investi-gation,Final Report -  Cases Ended as FR Non Cognizable,Final Report -  Cases Ended as Final Report False,Final Report -  Cases Ended as Mistake of Fact or of Law or Civil Dispute,Final Report -  Cases True but Insufficient Evidence or Untraced or No Clue,Final Report -  Cases Abated during Investigation,Final Report -  Total (Col.10+ Col.11+ Col.12+ Col.13+ Col.14),Chargesheets submitted -  Cases Chargesheeted Out of Cases from Previous Year,Chargesheets submitted -  Cases Charge- sheeted Out of Cases during the Year,Chargesheets submitted -  Cases Chargesheeted (Col.16+ Col.17),Total Cases Disposed Off by Police (Col.7+ Col.8+ Col.15+ Col.18),Cases Quashed at Investigation Stage,Cases Stayed at Investigation Stage,Cases Pending Investigation at End of the Year (Col.6- Col.9- Col.19- Col.20),Charge-Sheeting Rate (Col.18/ Col.19) *100,Pen- dency Percent age (Col.22/ Col.6) *100
1,Tampering computer source documents,165,173,0,338,0,0,0,0,3,6,90,0,99,12,30,42,141,1,1,196,29.8,58
2,Computer Related Offences,15708,23612,4,39324,0,110,0,16,280,397,5700,52,6445,1753,1949,3702,10257,22,3,29045,36.1,73.9
3,Cyber Terrorism,23,12,0,35,0,0,0,0,2,1,3,0,6,0,3,3,9,0,0,26,33.3,74.3
4,Publication/transmission of obscene / sexually explicit act in electronic form,2632,4187,2,6821,0,6,0,1,232,149,722,5,1109,458,1136,1594,2709,7,0,4105,58.8,60.2
5,Interception or Monitoring or decryption of Information,5,9,0,14,0,0,0,0,0,0,2,0,2,1,7,8,10,0,0,4,80,28.6
6,Un-authorized access/attempt to  access to protected computer system,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,100,0
7,Abetment to Commit Offences,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,100
8,Attempt to Commit Offences,5,14,0,19,0,0,0,0,0,0,1,0,1,0,10,10,11,0,0,8,90.9,42.1
9,Other Sections of IT Act,1244,2720,0,3964,0,1,0,0,694,87,1450,15,2246,237,254,491,2738,4,0,1222,17.9,30.8
10,Abetment of Suicide (Online),1,8,0,9,0,0,0,0,0,0,0,0,0,1,4,5,5,0,0,4,100,44.4
11,Cyber Stalking/Bullying of Women/Children,559,777,0,1336,0,3,0,0,28,12,78,6,124,149,317,466,593,6,0,737,78.6,55.2
12,Data theft,268,285,0,553,0,0,0,0,0,24,162,0,186,4,24,28,214,0,0,339,13.1,61.3
13,Fraud,4519,6233,11,10763,0,2,0,0,137,286,1824,4,2251,369,751,1120,3373,12,0,7378,33.2,68.5
14,Cheating,4298,3393,1,7692,0,4,0,0,29,90,1098,1,1218,227,309,536,1758,4,0,5930,30.5,77.1
15,Forgery,380,512,0,892,0,0,0,0,1,13,25,0,39,99,28,127,166,3,0,723,76.5,81.1
16,Defamation/Morphing,19,19,0,38,0,0,0,0,0,0,1,0,1,1,3,4,5,0,0,33,80,86.8
17,Fake Profile,76,87,0,163,0,0,0,0,8,0,22,0,30,16,19,35,65,0,0,98,53.8,60.1
18,Counterfeiting,14,5,0,19,0,0,0,0,0,0,1,0,1,2,3,5,6,0,0,13,83.3,68.4
19,Cyber Blackmailing/Threatening,293,372,3,668,0,0,0,0,10,12,71,0,93,25,85,110,203,0,0,465,54.2,69.6
20,Fake News on Social Media ,153,190,0,343,0,1,0,0,1,10,15,0,26,8,52,60,87,0,0,256,69,74.6
21,Other Offences,1520,1849,3,3372,0,2,1,1,72,71,239,1,384,230,651,881,1267,8,0,2096,69.5,62.2
22,Gambling Act (Online Gambling),22,22,0,44,0,0,0,0,0,0,1,0,1,2,14,16,17,0,0,27,94.1,61.4
23,Lotteries Act (Online Lotteries),14,9,0,23,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,22,100,95.7
24,Copy Right Act,123,34,0,157,0,0,0,0,9,0,11,0,20,7,5,12,32,0,0,125,37.5,79.6
25,Trade Marks Act,13,0,0,13,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,11,100,84.6
26,Other SLL Crimes,44,22,0,66,0,1,0,0,0,2,1,0,3,3,6,9,13,0,0,53,69.2,80.3
